,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
0,278.1969913482666,7.547250393457671,5.1298261165618895,0.771028332205301,500,{'n_estimators': 500},0.8243243243243243,0.875,0.4666666666666667,0.68,0.8309859154929577,0.7353969953693728,0.14954451857435924,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5573770491803278,0.48360655737704916,0.46885302434855874,0.09422945378041704,9,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
1,354.5191485404968,11.30536943524384,6.596620082855225,0.4321555268118372,650,{'n_estimators': 650},0.8243243243243243,0.875,0.4666666666666667,0.6836734693877551,0.8450704225352113,0.73894852619343,0.15116363187744283,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5491803278688525,0.4918032786885246,0.4688530243485588,0.09308167323988469,6,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
2,440.16094880104066,17.857766324348706,8.468431520462037,0.7905263586962495,800,{'n_estimators': 800},0.8356164383561644,0.875,0.4666666666666667,0.6868686868686869,0.8450704225352113,0.7418461448599986,0.15226491953478766,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5573770491803278,0.4918032786885246,0.4704923388565294,0.09454264103217268,3,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
3,521.2601343631744,11.670372108464163,9.972395086288453,0.8287210923787245,950,{'n_estimators': 950},0.8133333333333334,0.875,0.4666666666666667,0.6938775510204082,0.8450704225352113,0.7387909476902625,0.14931317322007573,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5573770491803278,0.4918032786885246,0.4704923388565294,0.09454264103217268,3,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
4,597.1364654064179,14.940070114662692,10.718531703948974,0.29993606964061975,1100,{'n_estimators': 1100},0.8133333333333334,0.875,0.4666666666666667,0.6938775510204082,0.8472222222222222,0.7392212998165725,0.1496216552562886,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5573770491803278,0.5,0.47213165336449997,0.09496805405575111,1,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
5,690.2463131904602,17.871644453751188,11.46122374534607,0.851100104513699,1250,{'n_estimators': 1250},0.8243243243243243,0.875,0.4666666666666667,0.6938775510204082,0.8472222222222222,0.7414196576051727,0.1507707485142115,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5573770491803278,0.5,0.47213165336449997,0.09496805405575111,1,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
6,720.2662812709808,30.4593151277934,10.991998195648193,0.8849804118594927,1400,{'n_estimators': 1400},0.8356164383561644,0.875,0.4666666666666667,0.6907216494845361,0.8472222222222222,0.7430470755231179,0.15228649055263943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5491803278688525,0.5,0.4704923388565294,0.09354246583796344,3,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
7,733.6486851215362,16.514284566661637,10.547693967819214,0.9373403297223527,1550,{'n_estimators': 1550},0.8356164383561644,0.875,0.4666666666666667,0.6907216494845361,0.8450704225352113,0.7426167233968078,0.15199425002833494,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5491803278688525,0.4918032786885246,0.4688530243485588,0.09308167323988469,6,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
8,751.289171075821,21.261782180826298,11.216266536712647,0.6936385570976104,1700,{'n_estimators': 1700},0.8356164383561644,0.875,0.4666666666666667,0.6875,0.8450704225352113,0.7419724051945772,0.15221953404405733,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5409836065573771,0.4918032786885246,0.46721370984058824,0.09171468866626743,10,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
9,752.7900396823883,13.799854130105947,9.068552589416504,1.3198980856108278,1850,{'n_estimators': 1850},0.8243243243243243,0.875,0.4666666666666667,0.6907216494845361,0.8450704225352113,0.740358136627698,0.15067368448190813,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5163934426229508,0.28688524590163933,0.5491803278688525,0.4918032786885246,0.4688530243485588,0.09308167323988469,6,0.7848360655737705,0.7827868852459017,0.9836065573770492,0.8504098360655737,0.7827868852459017,0.8368852459016394,0.07781059080131207
