,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
2,36.97726955413818,0.45685807996989186,0.5012542247772217,0.007435052667511207,1,800,"{'depth': 1, 'iterations': 800}",0.7543859649122807,0.6166666666666667,0.6947368421052632,0.6555555555555556,0.5063291139240507,0.6455368041166254,0.08316474288801005,55,0.7197231833910035,0.6836283185840708,0.713855421686747,0.7484076433121019,0.7314148681055156,0.7194058870158877,0.021430166776434723,0.3524590163934426,0.6065573770491803,0.5409836065573771,0.48360655737704916,0.6557377049180327,0.5278656690351935,0.10530324899004281,53,0.4262295081967213,0.6331967213114754,0.48565573770491804,0.48155737704918034,0.625,0.530327868852459,0.08337318763902565
3,42.574630212783816,0.6992636743852968,0.5019032001495362,0.004086820786909422,1,950,"{'depth': 1, 'iterations': 950}",0.7818181818181819,0.6166666666666667,0.6914893617021277,0.6781609195402298,0.5159235668789809,0.6568140079995282,0.08803039751976953,49,0.7055016181229773,0.6740088105726872,0.6565217391304348,0.7587301587301587,0.7352941176470589,0.7060112888406633,0.03771046861385879,0.3524590163934426,0.6065573770491803,0.5327868852459017,0.48360655737704916,0.6639344262295082,0.5278656690351935,0.1072002069654424,53,0.44672131147540983,0.6270491803278688,0.6188524590163934,0.48975409836065575,0.6147540983606558,0.5594262295081966,0.07579197544633987
4,49.00300726890564,0.6850040944006499,0.49767723083496096,0.006884966459141919,1,1100,"{'depth': 1, 'iterations': 1100}",0.7894736842105263,0.6229508196721312,0.6947368421052632,0.6744186046511628,0.5094339622641509,0.6582051649494175,0.09187535087607542,46,0.7195945945945946,0.6799116997792495,0.6688888888888889,0.7532051282051282,0.7325301204819277,0.7108260863899577,0.03180680069083384,0.36885245901639346,0.6229508196721312,0.5409836065573771,0.47540983606557374,0.6639344262295082,0.534423224594121,0.10540499317757004,48,0.4364754098360656,0.6311475409836066,0.6168032786885246,0.48155737704918034,0.6229508196721312,0.5577868852459016,0.08202252232304458
5,55.57273688316345,0.5746180925130111,0.5050443649291992,0.012181646912494307,1,1250,"{'depth': 1, 'iterations': 1250}",0.7894736842105263,0.6229508196721312,0.7083333333333334,0.6741573033707865,0.50625,0.6602353736402333,0.09414044771215362,45,0.7162162162162162,0.6799116997792495,0.7237237237237237,0.7628205128205128,0.7301204819277108,0.7225585268934827,0.026602801078155384,0.36885245901639346,0.6229508196721312,0.5573770491803278,0.4918032786885246,0.6639344262295082,0.5409804826368032,0.10407095218190685,46,0.4344262295081967,0.6311475409836066,0.49385245901639346,0.48770491803278687,0.6209016393442623,0.5336065573770492,0.07830550566304985
6,61.368151330947875,0.41599904008862737,0.4913621425628662,0.010525831501238548,1,1400,"{'depth': 1, 'iterations': 1400}",0.7796610169491526,0.6166666666666667,0.6979166666666666,0.6781609195402298,0.50625,0.6557333031063551,0.09111817890940561,52,0.7060702875399361,0.6806167400881057,0.7180232558139535,0.7570977917981072,0.7242206235011991,0.7172057397482604,0.024915882225388982,0.3770491803278688,0.6065573770491803,0.5491803278688525,0.48360655737704916,0.6639344262295082,0.536062687862914,0.0995299873609761,47,0.45286885245901637,0.6331967213114754,0.5061475409836066,0.4918032786885246,0.6188524590163934,0.5405737704918032,0.0720589243490295
7,68.08615217208862,0.6577348432897607,0.5017401218414307,0.0059521510677102265,1,1550,"{'depth': 1, 'iterations': 1550}",0.7833333333333333,0.6186440677966102,0.7111111111111111,0.6666666666666666,0.5030674846625767,0.6565668333764908,0.0939656039076378,50,0.7239057239057239,0.6789587852494577,0.7151335311572701,0.7555555555555555,0.7274881516587678,0.7202083495053551,0.024671325075772185,0.38524590163934425,0.5983606557377049,0.5245901639344263,0.47540983606557374,0.6721311475409836,0.5311448930890249,0.09882510292130262,50,0.4405737704918033,0.6413934426229508,0.49385245901639346,0.48770491803278687,0.6290983606557377,0.5385245901639345,0.08118892801184102
8,74.22951707839965,1.357114319275865,0.5043761730194092,0.009176702875959612,1,1700,"{'depth': 1, 'iterations': 1700}",0.7857142857142857,0.6218487394957983,0.6914893617021277,0.6704545454545454,0.5125,0.6564037333073334,0.08950169618979245,51,0.7185430463576159,0.6811279826464208,0.6704035874439462,0.7580645161290323,0.7270531400966184,0.7110384545347268,0.03184358105870753,0.36065573770491804,0.6065573770491803,0.5327868852459017,0.48360655737704916,0.6721311475409836,0.5311444468146572,0.10667231442799949,51,0.444672131147541,0.6434426229508197,0.6127049180327869,0.48155737704918034,0.6168032786885246,0.5598360655737705,0.08052418299678124
9,78.93897790908814,0.6789495876861597,0.5017943382263184,0.010412208762963733,1,1850,"{'depth': 1, 'iterations': 1850}",0.8,0.6166666666666667,0.6956521739130435,0.6744186046511628,0.5,0.657350077973979,0.09851145956610265,48,0.7235494880546075,0.6813186813186813,0.7122093023255814,0.7564102564102564,0.7239709443099274,0.7194917344838109,0.024123522761106634,0.36065573770491804,0.6065573770491803,0.5245901639344263,0.47540983606557374,0.6557377049180327,0.524587188771975,0.10316295380547551,55,0.4344262295081967,0.6352459016393442,0.5020491803278688,0.48360655737704916,0.6127049180327869,0.5336065573770492,0.07735594669175953
10,85.62017545700073,1.2765245713175903,0.5021784782409668,0.01822059035721901,1,2000,"{'depth': 1, 'iterations': 2000}",0.7586206896551724,0.6198347107438017,0.7052631578947368,0.6781609195402298,0.50625,0.6536278010638588,0.08620221093079974,53,0.7312925170068028,0.6784140969162996,0.7126760563380282,0.7571884984025559,0.7283653846153846,0.7215873106558142,0.025887891857041948,0.36065573770491804,0.6147540983606558,0.5491803278688525,0.48360655737704916,0.6639344262295082,0.5344230758359984,0.10604071438801727,49,0.4405737704918033,0.6311475409836066,0.5184426229508197,0.48565573770491804,0.6209016393442623,0.539344262295082,0.0750391817387595
11,26.471488857269286,0.19260505907481804,0.5009201526641845,0.004159921898525618,2,500,"{'depth': 2, 'iterations': 500}",0.8494623655913979,0.6515151515151515,0.7572815533980582,0.7777777777777778,0.5217391304347826,0.7115576985504579,0.11413168442642449,24,0.7533632286995515,0.7585513078470825,0.8106796116504854,0.861271676300578,0.8038793103448276,0.797549026968505,0.03936055803707962,0.6475409836065574,0.7049180327868853,0.639344262295082,0.5737704918032787,0.7868852459016393,0.6704913867559452,0.0715319561687417,17,0.6885245901639344,0.7725409836065574,0.6844262295081968,0.610655737704918,0.764344262295082,0.7040983606557377,0.0594558998853303
